标号,招标项目,时间,跳转链接 
['GZQS1901GC08044Z'],['广东省济广企业总公司一、二、四车间消防安全改造工程项目 竞争性磋商公告'],['[2019-09-05]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17456']
['QSFC201900282'],['荔湾区2018年度耕地质量等别年度更新评价竞争性磋商采购公告'],['[2019-09-06]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17453']
['QSFG201900249'],['广州空港经济区基础设施测绘技术服务项目公开招标公告'],['[2019-09-06]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17452']
['GZQS1901FC09013W'],['广州市增城区正果镇居家养老服务项目竞争性磋商采购公告'],['[2019-09-06]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17451']
['QSHC201900271'],['天河出入境边境检查站扩建执勤现场视频监控系统采购项目竞争性磋商采购公告'],['[2019-09-06]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17450']
['GZQS1901HG09009Z'],['广东省四会监狱2019-2020年警官餐厅肉菜食材采购项目 公开招标公告'],['[2019-09-05]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17457']
['GZQS1901FC08048SH'],['仁化县2019年柑桔病虫害绿色防控采购项目竞争性磋商公告'],['[2019-09-05]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17445']
['GZQS1901FC08014SH'],['广东北江中学顶层文化理念系统设计项目（第二次）竞争性磋商公告'],['[2019-09-05]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17443']
['GZQS1901GG09026M'],['梅州农村商业银行股份有限公司富力城网点装修及附属工程(项目编号：GZQS1901GG09026M)公开招标公告'],['[2019-09-05]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17587']
['QSHG201900262'],['广州市干部疗养院医学观察场所通讯系统项目公开招标公告'],['[2019-09-05]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17442']
['GZQS1901GG08038SH'],['国家税务总局始兴县税务局综合业务办公用房维修项目公开招标公告'],['[2019-09-04]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17439']
['440000-201908-201012-0064'],['广东省武江监狱罪犯教育演播中心购置项目公开招标公告'],['[2019-09-04]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17438']
['GZQS1901FC09003SH'],['韶关市生态环境局网络信息安全设计项目竞争性磋商公告'],['[2019-09-04]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17435']
['QSHG201900191'],['越秀区城市管理局2019年越秀区环卫设备购置项目(子包三重招）公开招标公告'],['[2019-09-04]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17433']
['GZQS1901FG06011Z'],['广东烟草肇庆市有限责任公司安全生产标准化二级达标评审项目 （二次）公开招标公告'],['[2019-09-04]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17430']
['QSFG201900223'],['广州市天河投资管理有限公司招选年度施工单位项目公开招标公告'],['[2019-09-04]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17428']
['GZQS1901HG08055Z'],['肇庆市高要区南岸科德小学数字书法室建设项目公开招标公告'],['[2019-09-03]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17427']
['GZQS1901HG08046SH'],['韶关市看守所在押人员生活物资（个人购物）采购项目公开招标公告'],['[2019-09-03]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17426']
['GZQS1901FC07030SH'],['仁化县董塘镇安岗村户外景观提升采购项目竞争性磋商公告'],['[2019-09-03]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17423']
['QSFC201900258'],['黄埔海关年度复印机维保项目竞争性磋商采购公告'],['[2019-09-02]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17420']
['QSFG201900250'],['梅州市三峰环保能源有限公司保安保洁物业服务项目中标公告'],['[2019-09-02]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17419']
['GZQS1901FG08030M'],['中山大学附属第三医院粤东医院广梅开发区医院“智慧医院”项目建设中标公告'],['[2019-09-02]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17436']
['GZQS1901HX08047Z'],['肇庆市第二人民医院超声信息管理系统采购项目 询价公告'],['[2019-09-02]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17470']
['QSFG201900226'],['广州市公安局海珠分局吸毒人员成瘾认定服务项目公开招标公告'],['[2019-09-02]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17417']
['QSFC201900285'],['广州市增城区新塘中学信息化设备采购项目竞争性磋商采购公告'],['[2019-08-30]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17412']
['GZQS1901HG08052Z'],['肇庆市高要区南岸初级中学课室教学平台教学设备采购项目 公开招标公告'],['[2019-08-30]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17411']
['QSHC201900281'],['开发大道天桥改造项目竞争性磋商采购公告'],['[2019-08-30]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17410']
['GZQS1901HC08036SH'],['始兴县城南镇东一村精准扶贫52.92KW光伏发电项目公开招标公告'],['[2019-08-30]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17407']
['QSHG201900195'],['广州市公安局增城区分局刑侦实验室试剂及耗材采购项目公开招标公告'],['[2019-08-30]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17403']
[''],['大吉沙基础配套设施升级工程热能垃圾处理机最高采购限价征集公告'],['[2019-08-29]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17396']
['QSFG201900175'],['中华人民共和国广东海事局“海巡31”船船员派遣项目公开招标公告'],['[2019-08-29]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17393']
['GZQS1901FG07010Z'],['肇庆市第二人民医院劳务派遣服务项目公开招标公告'],['[2019-08-28]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17389']
['GZQS1901HG07023M'],['兴宁市径南镇陂蓬村分布式光伏发电扶贫项目公开招标公告'],['[2019-08-28]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17388']
['GZQS1901HG08054SH'],['韶关浩川粮油加工储备有限公司粮食加工设备采购项目公开招标公告'],['[2019-08-28]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17387']
[''],['浩川粮油有限公司谷物加工厂房钢结构及基础工程施工 招标公告'],['[2019-08-28]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17386']
['440000-201908-201012-0064'],['广东省武江监狱罪犯教育演播中心购置项目公开招标公告'],['[2019-08-28]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17385']
['ZC2019（SS）ZX02843'],['“千年古韵、长寿风情”三水区乡村振兴文化系列活动暨乐平秋色文化活动策划组织服务项目竞争性磋商公告'],['[2019-08-28]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17384']
['QSHC201900287'],['二污普农业源普查数据审核技术支持及涉气污染物排放系数验证专用设备项目（2）竞争性磋商采购公告'],['[2019-08-28]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17382']
['QSHC201900286'],['二污普农业源普查数据审核技术支持及涉气污染物排放系数验证专用设备项目（1）竞争性磋商采购公告'],['[2019-08-28]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17381']
['QSHG201900154'],['广州市殡葬服务中心骨灰箱盅采购项目采购需求征求意见公告'],['[2019-08-28]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17380']
['WJ-2019-1955-A007'],['中国人民武装警察部队韶关支队厨房设施设备及篮球场面层采购安装项目公开招标公告'],['[2019-08-27]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17378']
[''],['梅州市三峰环保能源有限公司尿素采购项目比选公告'],['[2019-08-27]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17399']
['GZQS1901HX08051Z'],['肇庆市实验中学多功能智慧黑板教学平台设备采购项目公告'],['[2019-08-27]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17425']
['QSFG201900215'],['“四标四实”标准建筑物编码数据整理维护项目公开招标公告'],['[2019-08-27]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17372']
['QSHG201900280'],['广东省噪声自动监测网络（一期）建设项目公开招标公告'],['[2019-08-26]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17369']
['GZQS1901FC08033SH'],['南雄市消防救援大队消防展厅文化建设项目竞争性磋商公告'],['[2019-08-26]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17366']
['QSFG201900237'],['广州市岑村强制隔离戒毒所2019年戒毒人员体质康复专业服务采购项目公开招标公告'],['[2019-08-26]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17362']
['GZQS1901HY07024F'],['购侦查办案装备一批项目的中标公告'],['[2019-08-23]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17360']
['441422-201908-101004-0004'],['中共大埔县委应急指挥中心及配套设施设备采购项目公开招标公告'],['[2019-08-23]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17359']
['QSFT201900234'],['增城区2019年交通违法抓拍系统建设项目设计服务项目（第二次）竞争性谈判采购公告'],['[2019-08-23]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17355']
['QSHG201900252'],['广州市公安局增城区分局106会议室、108会议室、新会议室大屏改造项目公开招标公告'],['[2019-08-23]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17354']
['GZQS1901HG08021Z'],['智能交互式触屏一体机设备采购项目 公开招标公告'],['[2019-08-23]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17408']
['QSHC201900194'],['广州市公安局增城区分局毛发检测检材购置项目竞争性谈判采购公告'],['[2019-08-22]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17351']
['GZQS1901FG08028M'],['梅州农村商业银行股份有限公司（9-18层）装修工程设计、造价咨询服务采购项目(项目编号：GZQS1901FG08028M)公开招标公告'],['[2019-08-22]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17468']
['GZQS1901FG07022W'],['永宁街永和片区社工服务站公开招标'],['[2019-08-22]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17350']
['QSFG201900113'],['永宁街宁西片区社工服务站公开招标公告'],['[2019-08-22]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17349']
['GZQS1901HX08042M'],['广东兴宁农村商业银行股份有限公司职工福利物品（月饼） 采购项目（项目编号：GZQS1901HX08042M） 询价采购公告'],['[2019-08-22]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17392']
['GZQS1901FC08041SH'],['韶关市高铁站清扫保洁服务采购项目竞争性磋商公告'],['[2019-08-21]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17345']
['440200-201908-217001-0162'],['韶关市公安局指挥中心建设可视化智慧调度平台项目公开招标公告'],['[2019-08-21]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17344']
['QSFC201900197'],['广州市荔湾区金花街道办事处社区居家养老服务项目招标公告'],['[2019-08-21]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17343']
['QSFG201900267'],['“我和我的祖国--广东省第十三届‘百歌颂中华’歌咏活动”食宿和交通公开招标公告'],['[2019-08-21]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17342']
['GZQS1901FC08014SH'],['广东北江中学顶层文化理念系统设计项目竞争性磋商公告'],['[2019-08-21]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17341']
['QSF201900274'],['公开选定黄埔区双沙社区旧村地价评估机构项目的摇珠公告'],['[2019-08-21]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17338']
['QSHG201900268'],['中安置区监控升级改造工程公开招标公告'],['[2019-08-21]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17336']
['GZQS1901FD03023S'],['佛山市公安局三水分局小型汽车驾驶人全科目考场服务采购项目单一来源采购公示'],['[2019-08-20]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17337']
['GZQS1901FC07015F'],['佛山市生态环境局第三方环境督查服务项目竞争性磋商公告'],['[2019-08-20]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17331']
['GZQS1901FG07044W'],['增城区整治无证照经营督办系统升级改造项目公开招标公告'],['[2019-08-20]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17330']
['QSFY201900260'],['中共广东省委党校（广东行政学院）校院东大门与教研楼旁室外停车场改建立体车库采购项目监理服务邀请招标公告'],['[2019-08-19]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17324']
['QSHC201900242'],['广州萝岗消防大队室内全彩LED小间距显示屏升级改造项目竞争性磋商采购公告'],['[2019-08-19]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17322']
['GZQS1901HC07045F'],['佛山市三水区永安服务有限公司机动车驾驶员科目二、科目三考试适应性训练用车采购项目采购公告'],['[2019-08-16]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17397']
['441400-201908-mz159001-0020'],['梅州市统一申办受理平台升级及基础支撑平台升级软件开发服务项目公开招标公告'],['[2019-08-16]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17320']
['GZQS1901FG08010SH'],['韶关市浈江区政府投资项目评审中心中介协作机构采购项目公开招标公告'],['[2019-08-16]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17406']
['440200-201908-302001-0038'],['韶关市医疗保障局开发韶关市城乡居民医疗保险征缴辅助管理系统竞争性磋商'],['[2019-08-15]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17317']
['GZQS1901GG08019Z'],['广东肇庆星湖生物科技股份有限公司锅炉本体及配套工程安装项目公开招标公告'],['[2019-08-15]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17316']
['440000-201907-201007-0074'],['广东省北江监狱2019-2021年度服刑人员大宗物资（大米）采购项目公开招标公告'],['[2019-08-15]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17315']
['GZQS1901HC08022Z'],['肇庆市高要区新桥中学饭堂冰鲜肉类采购项目竞争性磋商公告'],['[2019-08-15]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17356']
['QSHG201900256'],['广东粤运交通股份有限公司2019-2021年度汽车润滑材料供货资格项目招标公告'],['[2019-08-15]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17313']
['QSHG201900235'],['辅警服装公开招标公告'],['[2019-08-15]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17311']
['QSHG201900206'],['出入境设备公开招标公告'],['[2019-08-15]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17309']
['GZQS1901HX08015Z'],['德庆县中医院医疗设备采购项目 询价采购公告'],['[2019-08-14]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17308']
